
Iteracción: 0
individual0 mCAI=0.392603,mHD=0.149123,lLCS=0.192982,GENDER=female,AGE:0,fitness:6.77367e+08, last mutation: -1, Identificador de poblacion: 101
individual1 mCAI=0.380915,mHD=0.149123,lLCS=0.201754,GENDER=female,AGE:0,fitness:6.74078e+08, last mutation: -1, Identificador de poblacion: 51
individual2 mCAI=0.418619,mHD=0.149123,lLCS=0.157895,GENDER=female,AGE:0,fitness:6.72364e+08, last mutation: -1, Identificador de poblacion: 39
individual3 mCAI=0.406886,mHD=0.149123,lLCS=0.149123,GENDER=female,AGE:0,fitness:5.96395e+08, last mutation: -1, Identificador de poblacion: 185
individual4 mCAI=0.385603,mHD=0.149123,lLCS=0.140351,GENDER=female,AGE:0,fitness:4.85165e+08, last mutation: -1, Identificador de poblacion: 122
individual5 mCAI=0.408693,mHD=0.157895,lLCS=0.201754,GENDER=female,AGE:0,fitness:1.08597e+08, last mutation: -1, Identificador de poblacion: 156
individual6 mCAI=0.406692,mHD=0.157895,lLCS=0.201754,GENDER=female,AGE:0,fitness:1.07737e+08, last mutation: -1, Identificador de poblacion: 160
individual7 mCAI=0.399767,mHD=0.157895,lLCS=0.201754,GENDER=female,AGE:0,fitness:1.04813e+08, last mutation: -1, Identificador de poblacion: 125
individual8 mCAI=0.404852,mHD=0.157895,lLCS=0.175439,GENDER=female,AGE:0,fitness:9.58388e+07, last mutation: -1, Identificador de poblacion: 162
individual9 mCAI=0.372349,mHD=0.157895,lLCS=0.175439,GENDER=female,AGE:0,fitness:8.06383e+07, last mutation: -1, Identificador de poblacion: 169
individual10 mCAI=0.392813,mHD=0.166667,lLCS=0.254386,GENDER=female,AGE:0,fitness:1.83327e+07, last mutation: -1, Identificador de poblacion: 75
individual11 mCAI=0.4314,mHD=0.166667,lLCS=0.175439,GENDER=female,AGE:0,fitness:1.57106e+07, last mutation: -1, Identificador de poblacion: 1
individual12 mCAI=0.399379,mHD=0.166667,lLCS=0.201754,GENDER=female,AGE:0,fitness:1.49819e+07, last mutation: -1, Identificador de poblacion: 143
individual13 mCAI=0.419811,mHD=0.166667,lLCS=0.175439,GENDER=female,AGE:0,fitness:1.48685e+07, last mutation: -1, Identificador de poblacion: 109
individual14 mCAI=0.431585,mHD=0.166667,lLCS=0.149123,GENDER=female,AGE:0,fitness:1.47182e+07, last mutation: -1, Identificador de poblacion: 54
individual15 mCAI=0.389374,mHD=0.166667,lLCS=0.201754,GENDER=female,AGE:0,fitness:1.44583e+07, last mutation: -1, Identificador de poblacion: 121
individual16 mCAI=0.410878,mHD=0.166667,lLCS=0.175439,GENDER=female,AGE:0,fitness:1.42503e+07, last mutation: -1, Identificador de poblacion: 165
individual17 mCAI=0.407497,mHD=0.166667,lLCS=0.175439,GENDER=female,AGE:0,fitness:1.40231e+07, last mutation: -1, Identificador de poblacion: 193
individual18 mCAI=0.400928,mHD=0.166667,lLCS=0.175439,GENDER=female,AGE:0,fitness:1.3592e+07, last mutation: -1, Identificador de poblacion: 65
individual19 mCAI=0.391837,mHD=0.166667,lLCS=0.175439,GENDER=female,AGE:0,fitness:1.30171e+07, last mutation: -1, Identificador de poblacion: 120
individual20 mCAI=0.405419,mHD=0.166667,lLCS=0.149123,GENDER=female,AGE:0,fitness:1.25956e+07, last mutation: -1, Identificador de poblacion: 144
individual21 mCAI=0.375388,mHD=0.166667,lLCS=0.175439,GENDER=female,AGE:0,fitness:1.2038e+07, last mutation: -1, Identificador de poblacion: 128
individual22 mCAI=0.336616,mHD=0.166667,lLCS=0.201754,GENDER=female,AGE:0,fitness:1.19854e+07, last mutation: -1, Identificador de poblacion: 154
individual23 mCAI=0.391036,mHD=0.166667,lLCS=0.149123,GENDER=female,AGE:0,fitness:1.15621e+07, last mutation: -1, Identificador de poblacion: 191
individual24 mCAI=0.361763,mHD=0.166667,lLCS=0.175439,GENDER=female,AGE:0,fitness:1.12829e+07, last mutation: -1, Identificador de poblacion: 37
individual25 mCAI=0.376526,mHD=0.166667,lLCS=0.149123,GENDER=female,AGE:0,fitness:1.06054e+07, last mutation: -1, Identificador de poblacion: 43
individual26 mCAI=0.39442,mHD=0.166667,lLCS=0.122807,GENDER=female,AGE:0,fitness:1.05614e+07, last mutation: -1, Identificador de poblacion: 70
individual27 mCAI=0.338232,mHD=0.166667,lLCS=0.149123,GENDER=female,AGE:0,fitness:8.44371e+06, last mutation: -1, Identificador de poblacion: 94
